(209, 290)
(211, 290)
(214, 290)
(216, 290)
(218, 291)
(221, 291)
(225, 292)
(229, 292)
(231, 293)
(235, 292)
(239, 292)
(242, 291)
(245, 289)
(249, 288)
(251, 287)
(253, 284)
(256, 282)
(259, 281)
(257, 280)
(254, 279)
(252, 281)
(250, 281)
(247, 282)
(246, 283)
(244, 283)
(243, 284)
(240, 284)
(239, 285)
(237, 285)
(235, 286)
(233, 287)
(231, 287)
(229, 287)
(226, 288)
(225, 289)
(223, 289)
(221, 288)
(218, 287)
(217, 287)
(216, 287)
(214, 287)
(213, 287)
(212, 288)
(211, 288)
(210, 289)
(209, 289)
(209, 289)
